Star1_ID,Star2_ID,AngularSeparation_rad
93506,67472,0.096225
50371,75177,0.096378
93506,76600,0.096478
71860,85267,0.096536
46853,76600,0.096716
52419,37229,0.096858
45941,2081,0.097025
61359,50371,0.097335
74785,83000,0.097417
67301,17499,0.098047
24436,26727,0.098458
71681,92420,0.098645
64962,48774,0.098783
102098,71352,0.098810
32349,85258,0.098812
77516,49841,0.098838
19780,7097,0.098871
2081,75177,0.099109
88635,106985,0.099160
45941,106032,0.099232
80763,26311,0.099324
45941,21281,0.099397
76267,2081,0.099774
59803,23015,0.099826
45941,76600,0.100127
14576,73714,0.100389
93506,21281,0.100430
49669,78384,0.100771
5447,32759,0.101052
37279,32759,0.101762
89931,55219,0.102319
746,63125,0.102771
50371,82729,0.102794
71683,92420,0.103209
81693,45860,0.103245
80763,47908,0.103396
44127,17499,0.103955
76267,55219,0.104155
74395,6537,0.104270
66657,44471,0.104546
113368,73334,0.104598
59316,22449,0.104990
65474,67472,0.105032
87261,57363,0.105162
113368,42913,0.105273
65474,11767,0.105606
93805,50371,0.105621
75097,32362,0.105812
46853,75177,0.106063
71681,27628,0.106432
2081,89931,0.106519
113368,106032,0.106941
94376,28103,0.107154
3821,81833,0.107591
81833,68245,0.107811
68702,102488,0.108057
68933,75177,0.108241
38170,20889,0.108288
89931,106032,0.108474
9884,112029,0.108501
42913,93194,0.108556
67301,44127,0.108826
33977,57757,0.108918
54872,55219,0.109664
15474,61199,0.109827
92041,42828,0.109859
94376,68895,0.109984
100751,76470,0.110011
68756,75177,0.110120
65378,61941,0.110137
39429,59747,0.110155
45080,75695,0.110228
82514,33856,0.110487
50371,76600,0.110903
54872,68756,0.111133
71683,27628,0.111256
64962,93194,0.111504
76267,54872,0.111685
24305,86974,0.111771
93805,55219,0.111927
35264,106278,0.112061
72105,101769,0.112101
24608,71795,0.112314
73555,17378,0.112712
93747,93805,0.112786
84345,93805,0.113034
26241,52943,0.113109
21281,46853,0.113488
5364,22797,0.113760
36188,48774,0.113824
82514,82545,0.113882
61941,113726,0.114273
82273,61585,0.114414
71352,73334,0.114657
35904,81377,0.114801
84345,9236,0.114805
46853,82729,0.114819
106032,79882,0.114856
24608,8903,0.115166
9884,37229,0.115280
84970,100064,0.115335
53910,89962,0.115480
35904,88635,0.115816
42536,46651,0.115922
25428,38827,0.115979
106032,109492,0.116086
76470,88771,0.116463
36850,102488,0.116467
75177,57757,0.116517
76600,75177,0.116552
93506,106032,0.116629
49669,42536,0.116751
61941,77622,0.116787
72105,72220,0.117023
39429,20042,0.117648
23015,93194,0.117753
109268,63090,0.117776
32768,89962,0.117945
27989,81377,0.117952
54872,50371,0.118574
65378,37229,0.118667
52419,94376,0.118677
66657,81266,0.118800
86742,74395,0.118841
97278,104732,0.119601
39429,14135,0.119612
73334,48774,0.119616
63608,94376,0.119649
113368,54872,0.119801
45238,26634,0.119996
83081,22449,0.120172
76297,20889,0.120258
24674,47508,0.120417
84345,75177,0.120806
67301,35350,0.120869
76267,75177,0.121521
23875,36188,0.121548
42913,23015,0.121751
86929,6537,0.121855
82273,44471,0.121940
39429,93085,0.122305
97649,80816,0.122411
86032,83000,0.122483
65474,30122,0.122545
54539,15900,0.122829
52419,61941,0.122901
26311,10602,0.122904
68933,93805,0.123091
21281,50371,0.123102
59803,23875,0.123114
86670,61941,0.123136
97278,69996,0.123459
3092,56343,0.123534
39757,106278,0.123595
33977,46853,0.123639
75177,82729,0.123966
7588,61084,0.124090
11767,8903,0.124748
18532,26451,0.124759
25985,88635,0.124970
18543,112623,0.125062
23416,112724,0.125344
78820,75695,0.125519
24608,51576,0.125522
54061,78820,0.125769
97649,36377,0.125856
69673,102395,0.125945
23416,12706,0.125990
