HIP,Hpmag,x,y,z
3,6.6081,0.7786794129693005,0.0038996123795015034,0.6274098858330773
11,7.3777,0.6822890149549183,0.025458914133099825,0.7306391337473039
14,7.4195,0.9988153578851448,0.048252570033021136,-0.006290495845207498
19,6.689,0.7836170542914388,0.04181966644175304,0.6198350004011624
21,7.6923,0.9880790777435545,0.06554209448095324,0.1392981334278984
23,7.6626,0.9704356013754097,0.07236293419449157,0.23025713743098292
25,6.4211,0.7135577448053946,0.05675144677519986,-0.6982940771030219
31,7.7648,0.9941078390802751,0.09782986286741323,0.0466789268352321
34,6.5466,0.8872459793925074,0.08854646882208178,0.45271856037826697
36,7.8503,0.9719612226856446,0.10073837492805411,0.21246920109107942
39,7.5669,0.9518514154756932,0.10692195728284042,-0.2873092026157983
43,6.3456,0.5024242736254779,0.06522015621791122,0.8621578628620296
48,7.4752,0.7513213331384598,0.10221929498683194,-0.6519719856738037
50,6.6231,0.5943350555324585,0.08549540161988449,-0.7996601641116582
55,7.5159,0.39089638452235786,0.062214053633330844,-0.9183296946619215
58,7.1625,0.45972820461019903,0.08069776403246577,0.8843855769776232
63,6.3484,0.6923782252532859,0.12724368694210522,0.710226328242265
67,7.9346,0.8986822006903885,0.18133105243680814,0.39936117936579635
73,7.0364,0.38365653561663954,0.085977399630147,0.9194648168535196
75,7.5402,0.6210079408107826,0.14093261081809513,-0.7710299194311118
87,7.9001,0.9609943355840811,0.25720497795995795,-0.10166359371932478
88,5.869,0.6348483668992776,0.17512508947289804,-0.752528241385285
89,7.985,0.5766082882072083,0.16402968943633123,0.8003856214064403
90,7.7519,0.7154654913623628,0.20573505752776688,-0.667669242045535
91,7.8145,0.9558523396810049,0.2754476574552811,-0.10234692339658705
99,6.9749,0.47012698489263655,0.15371941145806375,0.8691092915259537
102,7.1563,0.7109722660703881,0.23594944505825086,-0.6624547503455921
105,7.8284,0.30933768071670437,0.10521123886280438,0.9451141700904522
106,6.3864,0.6083028513533674,0.20847083568560662,0.76583781031228
107,5.6243,0.6030354893286723,0.20911958812236098,-0.7698163394431576
109,7.3153,0.9339328716887255,0.33732001244660503,0.11825650249467382
115,7.5117,0.42395268128913915,0.16570325206161016,-0.8903968532536243
119,6.9834,0.6576488726874317,0.2704854441665205,0.7030900260613788
121,6.9957,0.8112297654755077,0.3396182810561398,0.47598917086318837
122,4.9354,0.20622487388140995,0.08703951374767786,-0.9746257868736925
123,7.379,0.28097495179773346,0.11887434038072485,0.9523245075400029
124,5.6725,0.442603393017179,0.18934856416370127,0.8764983501061626
128,6.5638,0.2583335828791744,0.11343811786570536,0.9593724789527242
133,6.7434,0.6968875277619686,0.3140309136371588,-0.6447731065499108
136,6.7635,0.8292550391121454,0.378951872247902,0.4107694713911004
137,6.2437,0.6707511821788831,0.3098065886157838,0.6738788683850246
