HIP,Hpmag,x,y,z
63125,2.847100,0.584044,-0.567547,0.580330
17702,2.848000,0.490321,0.163812,-0.856009
36188,2.854600,-0.108950,0.407484,0.906690
89931,2.865400,-0.006005,0.016000,0.999854
97165,2.868300,0.243833,0.329555,0.912107
97278,2.869500,-0.115804,-0.354632,-0.927807
80331,2.871700,0.144853,0.204160,-0.968161
74946,2.881600,-0.837995,-0.346036,0.421928
18246,2.898000,-0.358683,0.817355,0.450862
77952,2.907500,0.826249,0.021205,-0.562905
84345,2.913700,-0.124299,-0.217362,0.968144
30343,2.914100,-0.068045,-0.863798,-0.499223
39757,2.915700,-0.543987,0.401528,0.736786
26451,2.918400,0.605799,-0.264609,0.750326
80112,2.922700,0.867534,0.224246,-0.443958
82514,2.924500,-0.065233,0.937717,-0.341220
86742,2.927900,0.056938,-0.133309,-0.989438
2021,2.930500,-0.279745,-0.036618,-0.959376
9236,2.930500,-0.046628,-0.300383,0.952678
81693,2.933800,0.527185,-0.829392,0.184890
13847,2.937800,-0.717664,-0.473465,-0.510675
80816,2.937800,0.708238,-0.516997,0.480741
107556,2.940900,-0.913133,-0.030954,0.406484
60965,2.944900,-0.356650,0.592516,0.722306
85670,2.946600,-0.126205,0.430371,0.893786
30122,2.952400,0.146043,0.159848,0.976279
94141,2.966400,0.008369,0.567197,-0.823540
25606,2.967400,-0.308723,-0.123290,-0.943128
17358,2.970300,-0.538814,0.574559,-0.616086
108085,2.976300,-0.174191,0.928445,0.328097
62322,2.978900,-0.533252,0.035707,0.845203
90496,2.983800,0.825867,0.486819,-0.284520
85258,2.993500,-0.440658,-0.284190,0.851502
93747,2.993500,-0.241069,-0.121734,0.962843
63608,2.998000,-0.026277,-0.025282,-0.999335
33977,3.005000,0.131501,-0.233563,0.963408
110130,3.010300,0.038837,-0.841418,0.538987
48002,3.018600,0.395691,-0.477953,-0.784213
106278,3.040400,-0.581749,0.484431,0.653372
75097,3.044900,0.604625,0.682771,0.410186
14328,3.058600,0.599053,-0.794539,-0.099212
10064,3.062500,-0.514185,-0.749619,-0.416755
73334,3.067100,-0.050152,0.298357,0.953136
18543,3.070300,-0.578445,0.107084,-0.808662
112158,3.089700,0.041157,0.365055,-0.930076
71075,3.098000,-0.258729,-0.778483,0.571860
56561,3.106800,-0.394161,-0.899843,-0.186867
32768,3.107700,-0.350439,0.871958,-0.341881
109074,3.108000,0.007512,-0.949260,-0.314402
87073,3.109200,0.748618,-0.104889,-0.654652
23767,3.116000,-0.308291,-0.870422,-0.383826
47908,3.116800,-0.077947,0.195796,-0.977542
92041,3.133900,-0.067736,0.275091,-0.959029
