x_dist,y_dist,x_undist,y_undist
0.0,0.0,1.5487222586853306,3.346683025095615
200.0,0.0,201.91714507688556,1.7318899803626095
400.0,0.0,404.3426330083178,-0.014708468298977095
600.0,0.0,608.825186052981,-1.8931123208865301
0.0,200.0,0.34205005245786424,200.48742988311298
200.0,200.0,200.46367745638938,199.98021522204755
400.0,200.0,402.64236997355255,199.34119515705436
600.0,200.0,606.8781276039476,198.57036968813475
0.0,400.0,0.5234717584385749,400.04102337646634
200.0,400.0,200.39830374810032,400.64138709906814
400.0,400.0,402.3302008509955,401.10994541774346
600.0,400.0,606.3191630671201,401.44669833249094
