HIP,Hpmag,x,y,z
3,6.608100,0.399175,0.001999,0.916873
19,6.689000,0.821348,0.043833,0.568741
25,6.421100,0.949942,0.075552,-0.303154
34,6.546600,-0.212002,-0.021158,0.977040
43,6.345600,-0.983244,-0.127636,0.130152
50,6.623100,-0.942808,-0.135623,-0.304499
63,6.348400,0.290428,0.053374,0.955407
88,5.869000,0.110781,0.030559,0.993375
99,6.974900,-0.747927,-0.244553,-0.617089
106,6.386400,0.908122,0.311222,-0.280099
107,5.624300,0.942361,0.326790,-0.071855
119,6.983400,0.711416,0.292599,0.638963
121,6.995700,-0.912146,-0.381867,-0.148885
122,4.935400,-0.088561,-0.037378,-0.995369
124,5.672500,-0.035161,-0.015042,-0.999268
128,6.563800,-0.195836,-0.085995,-0.976859
133,6.743400,-0.701968,-0.316320,-0.638108
136,6.763500,0.579817,0.264964,-0.770459
137,6.243700,-0.040252,-0.018592,-0.999017
145,5.083100,-0.891987,-0.437487,-0.113866
154,4.412000,0.850567,0.453644,0.265974
171,5.873500,-0.318863,-0.191218,0.928311
181,6.796000,-0.444587,-0.287366,-0.848389
183,4.989500,-0.103818,-0.068461,0.992237
186,6.391200,-0.736258,-0.504456,0.451053
194,5.780600,-0.479169,-0.344977,0.807086
207,6.038400,-0.789615,-0.600697,-0.125187
238,6.368700,0.270164,0.246324,-0.930772
253,6.621300,0.390497,0.388296,0.834709
254,6.750000,0.233590,0.233250,-0.943944
258,6.761600,0.187239,0.194855,-0.962794
274,6.332500,0.451969,0.521976,0.723371
297,6.825000,-0.153529,-0.203495,-0.966964
301,4.536600,0.033959,0.046002,0.998364
302,6.354400,-0.420904,-0.607794,-0.673370
330,5.971200,0.420541,0.745055,-0.517724
343,5.956200,-0.319824,-0.601843,0.731778
345,6.390900,-0.254638,-0.481771,0.838485
355,5.099600,-0.201215,-0.421609,0.884171
365,6.162700,-0.127374,-0.286523,-0.949569
377,5.563500,-0.265048,-0.628810,-0.730991
379,5.851100,-0.142468,-0.340309,-0.929458
394,6.228300,-0.340243,-0.934805,-0.101856
398,6.621000,-0.134428,-0.377895,0.916037
399,6.394100,0.018130,0.051619,0.998502
410,6.631000,-0.256624,-0.784702,0.564258
417,6.479800,0.263094,0.835753,-0.481973
418,5.781400,0.015388,0.050595,-0.998601
424,6.721400,0.087998,0.305972,0.947965
432,6.940300,-0.139329,-0.510138,-0.848733
443,4.780300,0.196869,0.815576,0.544131
476,5.707600,0.098234,0.667754,0.737872
502,6.736100,-0.068500,-0.997648,-0.002627
508,6.812300,-0.048383,-0.910919,0.409739
518,6.106100,-0.001888,-0.311926,0.950104
522,5.816300,-0.002587,0.371290,0.928513
531,5.568400,-0.008144,0.204855,0.978758
540,6.849800,0.074245,-0.958432,-0.275493
544,6.209300,0.059637,-0.730893,-0.679882
560,6.275000,0.060237,-0.434879,0.898472
602,6.253600,-0.027293,0.104556,0.994144
626,6.894900,0.254660,-0.726160,0.638624
631,6.994300,0.342319,-0.938682,-0.041159
635,6.398500,0.294425,-0.775297,-0.558774
636,5.980600,0.317887,-0.808925,0.494558
655,5.838500,0.221745,-0.466338,-0.856363
664,6.324500,0.354716,-0.682034,-0.639535
671,6.156900,0.397176,-0.723000,-0.565264
695,6.574600,-0.499664,0.786184,0.363662
696,6.201000,-0.158787,0.248421,0.955549
699,6.317500,-0.270314,0.395010,-0.878008
714,6.933500,0.559911,-0.755909,0.339265
716,6.409900,-0.569612,0.755295,0.324147
728,6.543900,0.628458,-0.777383,0.026774
729,5.732300,-0.510847,0.620287,-0.595213
730,6.462200,0.526536,-0.639292,0.560416
760,6.076700,0.266230,-0.279087,-0.922622
761,5.510000,0.665559,-0.690802,-0.282530
765,4.045200,0.135708,-0.136783,-0.981261
798,6.395600,-0.671865,0.537257,0.509855
803,6.950300,0.659436,-0.514278,-0.548328
813,5.521200,-0.120718,0.088478,-0.988736
814,5.453000,-0.690894,0.506008,-0.516354
840,6.007100,-0.431957,0.272656,0.859693
841,5.117400,0.420006,-0.264153,0.868227
857,6.714900,-0.708698,0.403905,0.578452
858,6.962900,0.125625,-0.069697,0.989627
860,6.707900,0.878792,-0.476907,0.016845
865,6.743600,0.502507,-0.262870,0.823642
873,6.015900,-0.894418,0.447029,-0.013433
902,6.846900,-0.474610,0.177939,0.862023
906,6.911700,0.923740,-0.338726,0.178800
910,5.002500,0.920249,-0.310392,-0.238325
930,5.577000,0.862241,-0.218503,-0.456943
950,5.342500,0.820511,-0.173793,0.544570
966,6.696300,0.234240,-0.037257,0.971465
967,6.311200,0.510657,-0.074895,-0.856516
969,6.743200,0.089249,-0.012222,-0.995934
973,6.726400,-0.315744,0.040957,-0.947960
981,6.937900,0.970887,-0.105314,-0.215147
983,5.405600,-0.609619,0.061251,0.790324
1009,6.669400,-0.748532,-0.000317,0.663098
1026,6.723500,0.515269,0.030051,0.856501
1030,6.680100,-0.997690,-0.067706,-0.005449
1046,6.827100,0.880536,0.110390,0.460946
1057,6.688300,0.345742,0.051563,-0.936912
1063,6.698200,-0.694083,-0.112777,-0.711007
1074,5.848800,0.967705,0.185967,0.170187
1076,6.377700,0.274233,0.057915,0.959918
1086,5.789100,0.953550,0.230627,-0.193788
1096,6.058200,-0.604580,-0.176684,-0.776702
1099,6.266800,-0.389080,-0.117516,-0.913677
1107,6.952400,-0.177399,-0.056181,0.982534
1123,6.230500,0.203043,0.078271,0.976037
1140,6.765100,-0.083642,-0.037322,0.995797
1146,6.697800,-0.900951,-0.429776,0.059839
1158,5.179800,-0.065309,-0.033452,-0.997304
1164,6.850500,0.862045,0.469587,-0.190701
1168,4.875600,-0.185169,-0.103298,0.977262
1170,4.526200,-0.865543,-0.493904,-0.083035
1176,6.793800,0.535453,0.311358,-0.785077
1185,6.891500,0.034245,0.021444,-0.999183
1191,5.750600,0.824719,0.546832,0.144268
1192,6.764600,0.825034,0.553466,-0.113994
1193,6.257100,0.794862,0.533589,-0.288925
1195,6.315200,0.775735,0.531780,0.339772
1196,6.100100,0.677872,0.467079,0.567738
1208,6.463500,-0.797960,-0.590740,0.119525
1215,6.362000,0.435441,0.332666,0.836496
1233,6.755600,-0.756992,-0.615523,0.219304
1268,6.650600,-0.583161,-0.647082,-0.491129
1269,6.583600,0.172714,0.191541,-0.966169
1288,5.811000,-0.625219,-0.779857,-0.030397
1292,6.723300,0.158490,0.201888,0.966500
1296,6.345400,-0.011114,-0.014483,0.999833
1302,6.149600,-0.540134,-0.752118,-0.377589
1319,6.280000,0.203421,0.317028,0.926344
1325,6.976900,0.143899,0.235689,0.961116
1330,6.840900,-0.150380,-0.252564,-0.955823
1331,6.470200,-0.106598,-0.179480,-0.977969
1339,6.495500,0.340216,0.591354,-0.731132
1342,6.880000,0.475496,0.846920,0.237971
1349,6.966100,0.342003,0.642598,-0.685640
1352,6.570600,-0.325157,-0.613288,-0.719827
1354,5.898800,-0.122851,-0.239073,-0.963199
1366,4.634900,-0.236009,-0.502196,0.831925
1372,5.839000,0.280057,0.619256,-0.733546
1392,6.779600,0.300825,0.798558,0.521353
1402,6.547500,-0.313941,-0.928102,-0.200169
1415,6.055100,-0.109540,-0.376748,0.919816
1421,6.345600,0.030681,0.113564,0.993057
1429,6.928600,-0.047332,-0.186205,0.981370
1439,6.705100,-0.221063,-0.953748,0.203707
1444,6.631100,-0.136303,-0.615058,-0.776611
1456,6.982300,0.106374,0.604829,0.789218
1464,6.695100,0.092971,0.651356,-0.753055
